z,H_SI,H_km_s_Mpc
1.84625,6.1604094631968816e-18,190.09037373393883
1.8475000000000001,6.164119760399044e-18,190.20486154291268
1.8487500000000001,6.167831083448144e-18,190.31938100621548
1.85,6.171543431925101e-18,190.43393211091578
1.85125,6.175256805411333e-18,190.54851484409747
1.8525,6.178971203488754e-18,190.6631291928598
1.85375,6.182686625739776e-18,190.77777514431733
1.855,6.186403071747311e-18,190.8924526856001
1.85625,6.1901205410947635e-18,191.00716180385322
1.8575,6.1938390333660325e-18,191.12190248623727
1.8587500000000001,6.197558548145511e-18,191.2366747199279
1.86,6.201279085018088e-18,191.35147849211612
1.86125,6.2050006435691405e-18,191.46631379000803
1.8625,6.208723223384541e-18,191.58118060082495
1.86375,6.212446824050653e-18,191.69607891180343
1.865,6.216171445154328e-18,191.81100871019504
1.86625,6.219897086282905e-18,191.92596998326636
1.8675,6.2236237470242165e-18,192.04096271829926
1.8687500000000001,6.227351426966582e-18,192.15598690259057
1.87,6.231080125698801e-18,192.271042523452
1.87125,6.234809842810169e-18,192.38612956821055
1.8725,6.23854057789046e-18,192.5012480242079
1.87375,6.242272330529936e-18,192.61639787880094
1.875,6.246005100319341e-18,192.73157911936127
1.87625,6.249738886849901e-18,192.84679173327552
1.8775,6.253473689713331e-18,192.96203570794526
1.8787500000000001,6.2572095085018175e-18,193.07731103078675
1.8800000000000001,6.260946342808034e-18,193.19261768923113
1.88125,6.264684192225134e-18,193.30795567072448
1.8825,6.268423056346748e-18,193.42332496272758
1.88375,6.272162934766984e-18,193.53872555271582
1.885,6.275903827080431e-18,193.6541574281796
1.88625,6.279645732882154e-18,193.76962057662388
1.8875,6.2833886517676925e-18,193.88511498556835
1.88875,6.287132583333061e-18,194.0006406425473
1.8900000000000001,6.290877527174752e-18,194.1161975351098
1.89125,6.2946234828897276e-18,194.2317856508194
1.8925,6.298370450075424e-18,194.34740497725429
1.89375,6.302118428329752e-18,194.46305550200725
1.895,6.3058674172510935e-18,194.57873721268567
1.89625,6.3096174164382984e-18,194.69445009691137
1.8975,6.3133684254906876e-18,194.81019414232065
1.89875,6.317120444008054e-18,194.92596933656444
1.9000000000000001,6.320873471590658e-18,195.04177566730803
1.90125,6.3246275078392235e-18,195.15761312223108
1.9025,6.328382552354944e-18,195.2734816890277
1.90375,6.332138604739484e-18,195.3893813554065
1.905,6.335895664594969e-18,195.50531210909043
1.90625,6.3396537315239856e-18,195.62127393781654
1.9075,6.3434128051295906e-18,195.73726682933645
1.90875,6.347172885015305e-18,195.8532907714161
1.9100000000000001,6.350933970785105e-18,195.96934575183548
1.9112500000000001,6.354696062043435e-18,196.085431758389
1.9125,6.358459158395198e-18,196.2015487788853
1.91375,6.362223259445758e-18,196.3176968011471
1.915,6.365988364800936e-18,196.43387581301135
1.91625,6.369754474067016e-18,196.55008580232925
1.9175,6.37352158685074e-18,196.66632675696613
1.91875,6.3772897027593035e-18,196.78259866480127
1.92,6.381058821400358e-18,196.8989015137281
1.9212500000000001,6.3848289423820176e-18,197.01523529165428
1.9225,6.3886000653128466e-18,197.13159998650136
1.92375,6.392372189801863e-18,197.2479955862049
1.925,6.396145315458542e-18,197.3644220787145
1.92625,6.399919441892809e-18,197.48087945199384
